"Result","axis","value"
"Win","SuccAir",0.488372093023256
"Win","SuccTacles",1
"Draw","SuccShots",0.333333333333333
"Draw","SuccDribbles",0.444444444444444
"Draw","SuccPasses",0.752659574468085
"Draw","SuccAir",0.469387755102041
"Draw","SuccTacles",0.513513513513513
"Loss","SuccShots",0
"Loss","SuccDribbles",0.285714285714286
"Loss","SuccPasses",0.781862745098039
"Loss","SuccAir",0.426229508196721
"Loss","SuccTacles",1
"Loss","SuccShots",0.5
"Loss","SuccDribbles",0.384615384615385
"Loss","SuccPasses",0.734475374732334
"Loss","SuccAir",0.631578947368421
"Loss","SuccTacles",0.535714285714286
"Draw","SuccShots",1
"Draw","SuccDribbles",0.6
"Draw","SuccPasses",0.76271186440678
"Draw","SuccAir",0.53125
"Draw","SuccTacles",0.826086956521739
"Loss","SuccShots",1
"Loss","SuccDribbles",0.444444444444444
"Loss","SuccPasses",0.786206896551724
"Loss","SuccAir",0.571428571428571
"Loss","SuccTacles",1
"Win","SuccShots",1
"Win","SuccDribbles",0.8
"Win","SuccPasses",0.836826347305389
"Win","SuccAir",0.435897435897436
"Win","SuccTacles",1
"Loss","SuccShots",0.5
"Loss","SuccDribbles",0.5
"Loss","SuccPasses",0.700831024930748
"Loss","SuccAir",0.507462686567164
"Loss","SuccTacles",0.6
"Win","SuccShots",0.285714285714286
"Win","SuccDribbles",0.25
"Win","SuccPasses",0.760233918128655
"Win","SuccAir",0.60377358490566
"Win","SuccTacles",0.684210526315789
"Draw","SuccShots",0.5
"Draw","SuccDribbles",0.625
"Draw","SuccPasses",0.760683760683761
"Draw","SuccAir",0.468085106382979
"Draw","SuccTacles",0.814814814814815
"Win","SuccShots",1
"Win","SuccDribbles",0.5
"Win","SuccPasses",0.73394495412844
"Win","SuccAir",0.56
"Win","SuccTacles",1
"Win","SuccShots",0.5
"Win","SuccDribbles",0.428571428571429
"Win","SuccPasses",0.796407185628742
"Win","SuccAir",0.5
"Win","SuccTacles",0.928571428571429
"Loss","SuccShots",0.75
"Loss","SuccDribbles",0.4
"Loss","SuccPasses",0.777251184834123
"Loss","SuccAir",0.410714285714286
"Loss","SuccTacles",0.777777777777778
"Loss","SuccShots",0
"Loss","SuccDribbles",0.2
"Loss","SuccPasses",0.832647462277092
"Loss","SuccAir",0.6
"Loss","SuccTacles",0.909090909090909
"Loss","SuccShots",0
"Loss","SuccDribbles",1
"Loss","SuccPasses",0.790186125211506
"Loss","SuccAir",0.617647058823529
"Loss","SuccTacles",0.714285714285714
"Win","SuccShots",0.666666666666667
"Win","SuccDribbles",0.5
"Win","SuccPasses",0.794055201698514
"Win","SuccAir",0.5
"Win","SuccTacles",1
"Draw","SuccShots",0.5
"Draw","SuccDribbles",0.4
"Draw","SuccPasses",0.834801762114537
"Draw","SuccAir",0.5
"Draw","SuccTacles",0.95
"Loss","SuccShots",0.5
"Loss","SuccDribbles",1
"Loss","SuccPasses",0.882352941176471
"Loss","SuccAir",0.4
"Loss","SuccTacles",0.931034482758621
"Win","SuccShots",0.5
"Win","SuccDribbles",0.55
"Win","SuccPasses",0.78619153674833
"Win","SuccAir",0.513513513513513
"Win","SuccTacles",0.91304347826087
"Loss","SuccShots",0
"Loss","SuccDribbles",0.454545454545455
"Loss","SuccPasses",0.803097345132743
"Loss","SuccAir",0.461538461538462
"Loss","SuccTacles",1
"Win","SuccShots",1
"Win","SuccDribbles",0.352941176470588
"Win","SuccPasses",0.847826086956522
"Win","SuccAir",0.484848484848485
"Win","SuccTacles",0.833333333333333
"Win","SuccShots",1
"Win","SuccDribbles",0.5
"Win","SuccPasses",0.731759656652361
"Win","SuccAir",0.4
"Win","SuccTacles",0.923076923076923
"Win","SuccShots",0.5
"Win","SuccDribbles",0.5
"Win","SuccPasses",0.865591397849462
"Win","SuccAir",0.566666666666667
"Win","SuccTacles",1
"Loss","SuccShots",1
"Loss","SuccDribbles",0.166666666666667
"Loss","SuccPasses",0.88801261829653
